Year,Country_Name,net_carbon_stock_change,surface_pct,country_global_emissions,CO2_aviation_sum,precipitation_m3,variation_temp_deg,terres_agricoles_perc,Aviation_perc,Global_Emissions_30perc,Global_Emissions_55perc
2012,Latvia,-5.62883317333333,54.35587005,8.663739999999999,0.36425,48495.0,0.8032499999999999,29.607590865229998,4.204304376631802,6.0646179999999985,3.8986829999999997
2013,Latvia,-5.62883317333333,54.40926194,8.50815,0.37693,40641.0,1.6103333333333332,30.181701238141198,4.43022278638717,5.955705,3.8286675000000003
2014,Latvia,-5.62883317333333,54.51522369,8.269860000000001,0.33674000000000004,44792.625,2.0614166666666667,30.1255230125523,4.071894808376442,5.788902,3.7214370000000008
2015,Latvia,-5.62883317333333,54.58619025,8.41798,0.32884,44792.625,2.4555000000000007,30.331562852084303,3.906400347826913,5.892586,3.788091
2016,Latvia,-5.71059148,54.65727624,8.60384,0.3743,44792.625,1.70775,31.084996780425,4.350383084762153,6.022688,3.871728
2017,Latvia,-5.71059148,54.72838512,8.48845,0.43084,44792.625,1.52975,31.1222025438738,5.075602730769456,5.941915,3.8198025
2018,Latvia,-5.71059148,54.80834273,8.45818,0.47063999999999995,44792.625,2.1375,31.21275567724269,5.56431761915684,5.920726,3.8061810000000005
2019,Latvia,-5.71059148,52.96839430241381,9.062330000000001,0.48285,44792.625,2.7289999999999988,30.01935940589525,5.328099947805918,6.343631,4.0780485
2020,Latvia,-5.71059148,52.96839430241381,9.899848,0.22920900000000002,44792.625,3.3385,30.01935940589525,2.3152779719446195,6.9298936,4.4549316
1990,Lithuania,-4.264883333333329,31.03063178,36.46882,0.40707,52877.0,1.439215517241379,47.952294713178006,1.116213795785002,25.528174,16.410969
1991,Lithuania,-4.264883333333329,31.03063178,38.82845,0.48798,39381.0,1.439215517241379,47.952294713178006,1.2567588971488692,27.179914999999998,17.4728025
1992,Lithuania,-4.264883333333329,31.26994257,22.320710000000002,0.20162,40033.0,1.5249166666666667,54.068283343969405,0.9032866786047576,15.624497,10.0443195
1993,Lithuania,-4.264883333333329,31.38959796,16.97194,0.11464,46422.0,0.325083333333333,53.17485641352899,0.6754678604802987,11.880358,7.637373
1994,Lithuania,-4.264883333333329,31.50925335,16.39782,0.12063,46553.0,0.8620000000000001,49.8723675813657,0.7356465676535052,11.478473999999999,7.3790189999999996
1995,Lithuania,-4.264883333333329,31.62890874,15.65726,0.12367000000000004,46162.0,1.0884166666666666,54.403318442884505,0.7898572291703659,10.960082,7.045767000000001
1996,Lithuania,-4.264883333333329,31.74856414,16.28643,0.10178,34230.0,-0.4801666666666666,54.4192724952138,0.6249374479244377,11.400500999999998,7.3288934999999995
1997,Lithuania,-4.264883333333329,31.86821953,15.47822,0.09564,44206.0,0.7712500000000002,54.5149968091895,0.6179005079395434,10.834754,6.965199
1998,Lithuania,-4.264883333333329,31.98787492,16.269000000000002,0.0861,55600.0,0.73025,54.642629227823896,0.529227364927162,11.388300000000001,7.321050000000001
1999,Lithuania,-4.264883333333329,32.10753031,13.786710000000001,0.07981,41700.0,1.741,55.7753669432036,0.5788908303721484,9.650697000000001,6.2040195
2000,Lithuania,-4.264883333333329,32.22718571,12.239230000000001,0.07614,39968.0,2.1614166666666663,54.5309508615188,0.6220979587768185,8.567461,5.507653500000001
2001,Lithuania,-4.761166666666671,32.46649649,13.0355,0.10455,50302.0,1.213,46.202935545628605,0.8020405814890108,9.12485,5.865975000000001
2002,Lithuania,-4.761166666666671,32.70580728,13.13153,0.09187999999999999,40737.0,1.765583333333333,46.0274409700064,0.6996899828123608,9.192070999999999,5.9091885
