Year,Country_Name,EU28_CO2_emissions
2009,Latvia,8.66245
2009,Lithuania,13.5591
2009,Luxembourg,11.89605
2009,Hungary,52.19655
2009,Malta,6.33654
2009,Netherlands,227.54971
2009,Austria,69.23939
2009,Poland,319.00584
2009,Portugal,61.59105
2009,Romania,84.06523
2009,Slovenia,16.35829
2009,Slovakia,37.86797
2009,Finland,58.3574
2009,Sweden,56.57345
2009,United Kingdom,537.27183
2010,Belgium,143.60581
2010,Bulgaria,48.6673
2010,Czechia,119.5478
2010,Denmark,54.14376
2010,Germany,865.34103
2010,Estonia,19.75802
2010,Ireland,44.53066
2010,Greece,108.73445
2010,Spain,323.51349
2010,France,410.40157
2010,Croatia,21.33429
2010,Italy,451.86798
2010,Cyprus,9.52646
2010,Latvia,9.73363
2010,Lithuania,14.53548
2010,Luxembourg,12.498
2010,Hungary,52.78929
2010,Malta,7.43829
2010,Netherlands,236.81075
2010,Austria,74.11526
2010,Poland,337.01441
2010,Portugal,57.48811
2010,Romania,80.64919
2010,Slovenia,16.56403
2010,Slovakia,38.62577
2010,Finland,66.48246
2010,Sweden,62.07115
2010,United Kingdom,552.39721
2011,Belgium,131.59109
2011,Bulgaria,53.92082
2011,Czechia,117.08451
2011,Denmark,49.22278
2011,Germany,840.55554
2011,Estonia,19.78677
2011,Ireland,40.50006
2011,Greece,106.20163
2011,Spain,326.10209
2011,France,388.80029
2011,Croatia,21.03913
2011,Italy,440.61529
2011,Cyprus,9.27764
2011,Latvia,8.86628
2011,Lithuania,14.91219
2011,Luxembourg,12.30999
2011,Hungary,50.91858
2011,Malta,7.02724
2011,Netherlands,227.43113
2011,Austria,72.11491
2011,Poland,336.24909
2011,Portugal,56.67992
2011,Romania,89.07775
2011,Slovenia,16.50669
2011,Slovakia,38.22065
2011,Finland,59.3003
2011,Sweden,57.26873
2011,United Kingdom,512.46734
2012,Belgium,126.28636
2012,Bulgaria,49.0294
2012,Czechia,113.09933
2012,Denmark,44.24003
2012,Germany,846.42731
2012,Estonia,19.22534
2012,Ireland,40.37721
2012,Greece,101.15841
2012,Spain,319.3038
2012,France,390.00561
2012,Croatia,19.43107
2012,Italy,418.58808
2012,Cyprus,8.71923
2012,Latvia,8.66374
2012,Lithuania,14.92004
2012,Luxembourg,11.98039
2012,Hungary,47.28049
2012,Malta,6.81023
2012,Netherlands,219.57499
2012,Austria,69.39485
2012,Poland,328.6741
2012,Portugal,55.0194
2012,Romania,87.12531
2012,Slovenia,15.96479
2012,Slovakia,36.09696
2012,Finland,53.52855
2012,Sweden,54.43183
2012,United Kingdom,528.17086
2013,Belgium,126.67838
2013,Bulgaria,43.4398
2013,Czechia,108.20603
2013,Denmark,46.46185
2013,Germany,863.52673
2013,Estonia,21.12913
2013,Ireland,39.74824
2013,Greece,91.11888
2013,Spain,289.41058
2013,France,390.62643
2013,Croatia,18.81464
2013,Italy,383.59136
2013,Cyprus,8.11778
2013,Latvia,8.50815
2013,Lithuania,13.84459
2013,Luxembourg,11.44032
2013,Hungary,44.10047
2013,Malta,6.50958
2013,Netherlands,217.97991
2013,Austria,69.79699
2013,Poland,324.57222
2013,Portugal,53.2874
2013,Romania,78.47098
2013,Slovenia,15.37904
2013,Slovakia,35.67836
2013,Finland,54.10686
2013,Sweden,52.61529
2013,United Kingdom,518.24074
2014,Belgium,118.5078
2014,Bulgaria,45.97917
2014,Czechia,105.79732
2014,Denmark,42.79339
2014,Germany,823.68711
2014,Estonia,19.98931
2014,Ireland,39.54795
2014,Greece,87.54038
2014,Spain,294.20398
2014,France,358.0912
2014,Croatia,18.06598
2014,Italy,363.00971
2014,Cyprus,8.46447
2014,Latvia,8.26986
2014,Lithuania,13.3762
2014,Luxembourg,11.05059
2014,Hungary,44.21678
2014,Malta,6.78703
2014,Netherlands,210.7372
2014,Austria,66.19598
2014,Poland,312.44294
2014,Portugal,53.08371
2014,Romania,79.1787
2014,Slovenia,13.79646
2014,Slovakia,33.77338
2014,Finland,49.89119
2014,Sweden,51.20472
2014,United Kingdom,480.18766
2015,Belgium,124.31993
2015,Bulgaria,49.07503
2015,Czechia,106.55093
2015,Denmark,40.4358
2015,Germany,827.29139
2015,Estonia,16.88111
2015,Ireland,41.69637
2015,Greece,83.61839
2015,Spain,310.16863
2015,France,362.5217
2015,Croatia,18.18228
2015,Italy,376.39879
2015,Cyprus,8.49528
2015,Latvia,8.41798
2015,Lithuania,13.80527
2015,Luxembourg,10.71817
2015,Hungary,47.16653
2015,Malta,7.18953
2015,Netherlands,216.91204
2015,Austria,68.52653
2015,Poland,315.90137
2015,Portugal,57.62204
2015,Romania,80.36934
2015,Slovenia,13.90341
2015,Slovakia,34.63326
2015,Finland,47.06382
2015,Sweden,51.52062
2015,United Kingdom,463.73722
2016,Belgium,125.9075
2016,Bulgaria,46.38128
2016,Czechia,108.39617
2016,Denmark,42.10393
2016,Germany,835.33063
2016,Estonia,18.52542
2016,Ireland,43.2287
2016,Greece,80.03769
2016,Spain,301.09977
2016,France,365.85177
2016,Croatia,18.47202
2016,Italy,375.0434
2016,Cyprus,9.16315
2016,Latvia,8.60384
2016,Lithuania,14.15036
2016,Luxembourg,10.61317
2016,Hungary,47.65779
2016,Malta,7.23844
2016,Netherlands,215.06713
2016,Austria,69.5926
2016,Poland,326.9219
2016,Portugal,56.35475
2016,Romania,77.88895
2016,Slovenia,14.88228
2016,Slovakia,35.08119
2016,Finland,50.13875
2016,Sweden,52.10208
2016,United Kingdom,441.67936
2017,Belgium,128.69876
2017,Bulgaria,48.54489
2017,Czechia,109.40815
2017,Denmark,39.44411
2017,Germany,821.35284
2017,Estonia,19.94129
2017,Ireland,42.65069
2017,Greece,85.25636
2017,Spain,313.51887
2017,France,369.69213
2017,Croatia,19.18723
2017,Italy,371.12351
2017,Cyprus,9.33359
2017,Latvia,8.48845
2017,Lithuania,14.4437
2017,Luxembourg,10.9805
2017,Hungary,50.13261
2017,Malta,8.91144
2017,Netherlands,212.3649
2017,Austria,71.89899
2017,Poland,341.01806
2017,Portugal,61.79458
2017,Romania,81.01547
2017,Slovenia,15.16524
2017,Slovakia,36.26158
2017,Finland,47.89895
2017,Sweden,52.62757
2017,United Kingdom,431.87667
2018,Belgium,135.66212
2018,Bulgaria,44.66093
2018,Czechia,108.06583
2018,Denmark,39.7143
2018,Germany,788.25754
2018,Estonia,19.07935
2018,Ireland,42.97437
2018,Greece,82.80215
2018,Spain,310.56433
